Date;Flower;Color;Units Selection
03/10/2024 0:00;Dianthus Ball;Purple;300
03/10/2024 0:00;Eryngium;Blue;1500
03/10/2024 0:00;Eucalyptus;Green;300
03/10/2024 0:00;Eucalyptus Baby Blue;Green;10550
03/10/2024 0:00;Gala Mum;Lavender;3000
03/10/2024 0:00;Gala Mum;Pink;2400
03/10/2024 0:00;Gala Mum;Purple;1440
03/10/2024 0:00;Gala Mum;White;130
03/10/2024 0:00;Gala Mum;Yellow;960
03/10/2024 0:00;Gerbera;Orange;10
03/10/2024 0:00;Gerbera;Pink;20
03/10/2024 0:00;Gerbera;Red;20
03/10/2024 0:00;Gerbera;White;20
03/10/2024 0:00;Gerbera;Yellow;20
03/10/2024 0:00;Green Ball;Green;2700
03/10/2024 0:00;Green Dragon (Lepidium);Green;100
03/10/2024 0:00;Gypso;White;150
03/10/2024 0:00;Hybrid Lilies;Orange;1400
03/10/2024 0:00;Hybrid Lilies;Pink;1200
03/10/2024 0:00;Hybrid Lilies;White;1400
03/10/2024 0:00;Hybrid Lilies;Yellow;1600
03/10/2024 0:00;Hydrangeas;Blue;70
03/10/2024 0:00;Hydrangeas;Green;2490
03/10/2024 0:00;Hydrangeas;Tinted Antique;24
03/10/2024 0:00;Hydrangeas;Tinted Blue;0
03/10/2024 0:00;Hydrangeas;Tinted Lavender;10
03/10/2024 0:00;Hydrangeas;Tinted Pink;32
03/10/2024 0:00;Hydrangeas;Tinted Purple;7
03/10/2024 0:00;Hydrangeas;Tinted Yellow;16
03/10/2024 0:00;Hydrangeas;White;1144
03/10/2024 0:00;Hypericum;Green;3000
03/10/2024 0:00;Hypericum;Pink;12000
03/10/2024 0:00;Hypericum;Red;4500
03/10/2024 0:00;Iconfetti;DarkPink;2900
03/10/2024 0:00;Iconfetti;Light Bronze;3300
03/10/2024 0:00;Iconfetti;Orange;20
03/10/2024 0:00;Iconfetti;White;1990
03/10/2024 0:00;Iconfetti;Yellow;470
03/10/2024 0:00;Leucadendron;Green;20
03/10/2024 0:00;Leucadendron;Red;60
03/10/2024 0:00;Liatris;Purple;400
03/10/2024 0:00;Liriope;Green;6
03/10/2024 0:00;Matsumoto;DarkPink;4000
03/10/2024 0:00;Matsumoto;Purple;3100
03/10/2024 0:00;Matsumoto;Red;920
03/10/2024 0:00;Micropompon Button;Pink;10
03/10/2024 0:00;Micropompon Button;Purple;250
03/10/2024 0:00;Micropompon Button;Red;300
03/10/2024 0:00;Micropompon Button;Yellow;800
03/10/2024 0:00;Micropompon Daisy;Green;250
03/10/2024 0:00;Micropompon Daisy;Lavender;440
03/10/2024 0:00;Micropompon Daisy;Purple;80
03/10/2024 0:00;Micropompon Daisy;White;420
03/10/2024 0:00;Micropompon Daisy;Yellow;400
